Wikidata Item owned,Item owned,Wikidata Owner,Owner name,owner Description,Owner Status,Proveana,GND
http://www.wikidata.org/entity/Q97599486,Galerie Trotti & Cie,http://www.wikidata.org/entity/Q97599695,A. Trotti,art dealer,ALIU Red Flag,,
http://www.wikidata.org/entity/Q103927404,Saint Francis and Brother Leo Meditating on Death,http://www.wikidata.org/entity/Q53648372,Aaron S. Drey,German art dealer and antiquities seller,Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q56525762,A. S. Drey dealership,http://www.wikidata.org/entity/Q53648372,Aaron S. Drey,German art dealer and antiquities seller,Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q1355909,Maximiliansplatz 8,http://www.wikidata.org/entity/Q53648372,Aaron S. Drey,German art dealer and antiquities seller,Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q20174897,Christ Instructing Peter and John to Prepare for the Passover,http://www.wikidata.org/entity/Q53648372,Aaron S. Drey,German art dealer and antiquities seller,Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q50119632,Straw-covered farm (Strohgedeckter Bauernhof),http://www.wikidata.org/entity/Q18785024,Abraham Adelsberger,"German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940)",Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q107437226,Autumn (Herbst),http://www.wikidata.org/entity/Q18785024,Abraham Adelsberger,"German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940)",Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q20751784,Jupiter and Antiope,http://www.wikidata.org/entity/Q18785024,Abraham Adelsberger,"German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940)",Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q110866106,Landscape with cattle,http://www.wikidata.org/entity/Q18785024,Abraham Adelsberger,"German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940)",Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q50110199,Evening Clouds (Abendwolken),http://www.wikidata.org/entity/Q18785024,Abraham Adelsberger,"German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940)",Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q107436677,Q107436677,http://www.wikidata.org/entity/Q18785024,Abraham Adelsberger,"German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940)",Holocaust Aryanization or art restitution case link,,
http://www.wikidata.org/entity/Q17323388,Portrait of a woman,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324036,The peasant's pleasure,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17323858,Pharaoh gives Sarah back to Abraham,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324217,Portrait of the first Earl of Albemarle,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324218,Pastoral scene with a flute player,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17276052,River View with Church and Ferry,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324111,Self-portrait,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324042,The sacrifice of Abraham,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17275978,Study of an old woman (Rembrandt's mother),http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17324114,The tric-trac players,http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
http://www.wikidata.org/entity/Q17275984,Study of an old man (Rembrandt's father),http://www.wikidata.org/entity/Q329815,Abraham Bredius,"Dutch art collector, art historian, and museum curator (1855–1946)",ALIU Red Flag,,
