Object URL,Object,Date Publication,Tag,Category,published_in_Tag,Subject_Tag,depicts_Tag,publisher_Tag,author_Tag
https://www.artnews.com/art-news/news/subhash-kapoor-antiquities-seized-ivy-league-school-1234623591/,More Than a Dozen Antiquities Linked to Disgraced Dealer Seized from Yale’s Art Gallery,2022-03-31T00:00:00Z,news article,Event,ARTnews,smuggling,Yale University Art Gallery,,
https://www.artnews.com/art-news/news/subhash-kapoor-antiquities-seized-ivy-league-school-1234623591/,More Than a Dozen Antiquities Linked to Disgraced Dealer Seized from Yale’s Art Gallery,2022-03-31T00:00:00Z,news article,Event,ARTnews,Subhash Kapoor,Yale University Art Gallery,,
https://www.artnews.com/art-news/news/subhash-kapoor-antiquities-seized-ivy-league-school-1234623591/,More Than a Dozen Antiquities Linked to Disgraced Dealer Seized from Yale’s Art Gallery,2022-03-31T00:00:00Z,news article,Event,ARTnews,Yale University Art Gallery,Yale University Art Gallery,,
https://www.artnews.com/art-news/news/subhash-kapoor-antiquities-seized-ivy-league-school-1234623591/,More Than a Dozen Antiquities Linked to Disgraced Dealer Seized from Yale’s Art Gallery,2022-03-31T00:00:00Z,news article,Event,ARTnews,antiquities trade,Yale University Art Gallery,,
https://www.artnews.com/art-news/news/subhash-kapoor-antiquities-seized-ivy-league-school-1234623591/,More Than a Dozen Antiquities Linked to Disgraced Dealer Seized from Yale’s Art Gallery,2022-03-31T00:00:00Z,news article,Event,ARTnews,erroneous provenance (artwork),Yale University Art Gallery,,
https://www.artnews.com/art-news/news/subhash-kapoor-antiquities-seized-ivy-league-school-1234623591/,More Than a Dozen Antiquities Linked to Disgraced Dealer Seized from Yale’s Art Gallery,2022-03-31T00:00:00Z,news article,Event,ARTnews,United States Department of Homeland Security,Yale University Art Gallery,,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,work,Event,Spy,art forgery,Woman's Head,,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Klaus Perls,Woman's Head,,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Gloria Vanderbilt,Woman's Head,,
,Scumbag Descending a Staircase,1992-10-01T00:00:00Z,investigative journalism,Event,Spy,Woman's Head,Woman's Head,,
