item;itemLabel;itemDescription;status;altNames;GND;Proveana;VIAF;LCCN;RunDate
http://www.wikidata.org/entity/Q56218992;A & R Ball Gallery;art dealership, gallery;Holocaust Aryanization or art restitution case link;A.&R. Ball, A&R Ball, Alexander Ball Gallery, Ball Gallery, Gallery Ball;;;;;25-janv-24
http://www.wikidata.org/entity/Q56525762;A. S. Drey dealership;German art dealership, Aryanized in 1935;Holocaust Aryanization or art restitution case link;A. S. Drey, Drey, Siegfried (Kunsthandlung A.S. Drey), Galerie für Alte Kunst, Kunsthandlung A.S. Drey;;;96094195;nr2005027623;25-janv-24
http://www.wikidata.org/entity/Q97599695;A. Trotti;art dealer;ALIU Red Flag;Avogli-Trotti, Count René Avogli Trotti;;;;;25-janv-24
http://www.wikidata.org/entity/Q53648372;Aaron S. Drey;German art dealer and antiquities seller;Holocaust Aryanization or art restitution case link;A. S. Drey, A.S. Drey, AS Drey;;;;;25-janv-24
http://www.wikidata.org/entity/Q119996446;Abels Gallery;German art dealership;ALIU Red Flag;Galerie Hermann und Günther Abels, Kunstsalon Hermann Abels, Abels brothers gallery;;act10003142;;;25-janv-24
http://www.wikidata.org/entity/Q18785024;Abraham Adelsberger;German Jewish toy manufactuer and art collector persecuted by Nazis, 569 lost artworks (1863-1940);Holocaust Aryanization or art restitution case link;Abraham Adelberger;129306487;;18299236;;25-janv-24
http://www.wikidata.org/entity/Q329815;Abraham Bredius;Dutch art collector, art historian, and museum curator (1855–1946);ALIU Red Flag;;119096056;;64809947;nr92014290;25-janv-24
http://www.wikidata.org/entity/Q19839920;Achille Boitel;French industrialist and Nazi collaborator;ALIU Red Flag;Achilles Boite, Achilles Boitl, Boitel, Achilles;;;;;25-janv-24
http://www.wikidata.org/entity/Q73520259;Achim Moeller Fine Art;1972- New York City NY Dealer/Gallery Scholar/Critic/Expert Consultant;Holocaust Aryanization or art restitution case link;Achim Moeller Fine Arts, Moeller Fine Art;5128495-9;;;;25-janv-24
http://www.wikidata.org/entity/Q130612836;Ada van Danzig;Holocaust victim, born August 3, 1918;Holocaust victim;;;;;;25-janv-24
http://www.wikidata.org/entity/Q126190629;Adalbert Parlagi;Austrian Jewish businessman and art collector;Holocaust Aryanization or art restitution case link;Adalbert Bela Parlagi;;;;;25-janv-24
http://www.wikidata.org/entity/Q104544920;Adele Fischel;Viennese Holocaust victim, and art collector b. 1875-05-09 - 1943;Holocaust victim;Adele Mandl, Mandl, Adele;;act00002171;;;25-janv-24
http://www.wikidata.org/entity/Q105455262;Adele Paechter;German Jewish art collector, holocaust victim (1857-1943);Holocaust victim;Adele Elkan, Adele Pächter;;;;;25-janv-24
http://www.wikidata.org/entity/Q358071;Adler & Oppenheimer;business;Holocaust Aryanization or art restitution case link;N.V. Amsterdamsche Leder Maatschappij (Almi), Norddeutsche Lederwerke;235923-6;;;;25-janv-24
http://www.wikidata.org/entity/Q15428510;Adolf Weinmüller;German art dealer and Nazi party member who trafficked in looted art (1886-1958);ALIU Red Flag;Weinmueller;117269735;act10001186;69703450;no2012093976;25-janv-24
http://www.wikidata.org/entity/Q47309996;Adolf Wuester;German art dealer, artist, member of the ERR Nazi looting organisation Reichsleiter Rosenberg Taskforce(1888-1972);ALIU Red Flag;Adolf Wüster;117377015;;3247011;;25-janv-24
http://www.wikidata.org/entity/Q116122443;Agathe Saulmann;German Jewish pilot and art collector (1898-1951);Holocaust Aryanization or art restitution case link;Ida Agathe Breslauer;1174943785;;6,63815E+21;;25-janv-24
http://www.wikidata.org/entity/Q126911986;Albert Abraham Stern;German Jewish clothing manufacturer and art collector killed in the Holocaust (1864-1945);Holocaust victim;Albert Stern;;;;;25-janv-24
http://www.wikidata.org/entity/Q110393072;Albert Boudariat;French decorator and art dealer;ALIU Red Flag;;;;;;25-janv-24
http://www.wikidata.org/entity/Q110444468;Albert Loeske;German Jewish art dealer, owner of Margraf Group later plundered by Nazis (1869-1929);Holocaust Aryanization or art restitution case link;;;act10000072;;;25-janv-24
http://www.wikidata.org/entity/Q131763171;Albert Loewenisch;German art dealer 1900-1952;ALIU Red Flag;Albert Loevenisch;;act00000177;;;25-janv-24
http://www.wikidata.org/entity/Q2638539;Albert Ottenheimer;German Jewish entrepreneur and art collector (1886-1985);Holocaust Aryanization or art restitution case link;Albert Otten;1046933248;;7212866;no2008135365;25-janv-24
http://www.wikidata.org/entity/Q119123422;Albert Pollak;Austrian Jewish art collector persecuted by the Nazis;Holocaust Aryanization or art restitution case link;;;;;;25-janv-24
http://www.wikidata.org/entity/Q117451;Albert Skira;Swiss magazine publisher and art dealer (1904-1973);ALIU Red Flag;Albert Schira;121601994;;54268876;n81095878;25-janv-24
http://www.wikidata.org/entity/Q3609940;Alessandro Contini Bonacossi;Italian art collector, dealer and politician (1878-1955);ALIU Red Flag;Alessandro Contini-Bonacossi, Conte Alessandro Contini Bonacossi, Contini-Bonacossi, Count Contini-Bonacossi;1011545845;;170983204;;25-janv-24
http://www.wikidata.org/entity/Q16558664;Alessandro Morandotti;Italian art dealer (1909-1979);ALIU Red Flag;;14377915X;;169580111;;25-janv-24
