DATE RESTITUTION or SETTLEMENT,Title,Image,Artist,Datierung,Material,Height,Provenance,Verlustgeschichte,Status,Published Since,Contact,Person,Permalink To This Page,Literature
March 2020,Portrait of a friend of the master,LA6604_36246.jpg,"Menzel, Adolph;Birth 1815.12.08, Breslau;Death 1905.02.09, Berlin;Place of activity Berlin",1865,Oil: Cardboard / Paper,26.00 cm,March 2020 amicable settlement with the heirs;Read more;Read less,"Nürnberg, 1933 (nach)",amicable settlement,2001,Nathan Scheftelowitz Adv. & Notary Phone +972-3-6091587/9 nns@inter.net.il,"Adelsberger, Abraham",https://www.lostart.de/en/Verlust/239642,
2019,Head of a Man,LA6601_36243.jpg,"Leibl, Wilhelm Maria Hubertus;Birth 1844.10.23, Köln;Death 1900.12.04, Würzburg;Place of activity München, Paris, Graßlfing (Ober-Bayern), Unterschondorf, Berbling, Aibling, Kutterling",1895 (um),Oil: Canvas,25.00 cm,2019 amicable settlement with the heirs;Read more;Read less,,"amicable settlement;Literature / Source;Emil Waldmann, Wilhelm Leibl, Berlin, 1914, Nr. 225 (Männerkopf mit grünem Hut, mit Abb.);Read more;Read less",2001,Nathan Scheftelowitz Adv. & Notary Phone +972-3-6091587/9 nns@inter.net.il,"Adelsberger, Abraham",https://www.lostart.de/en/Verlust/239631,"Emil Waldmann, Wilhelm Leibl, Berlin, 1914, Nr. 225 (Männerkopf mit grünem Hut, mit Abb.);Read more"
,At the watering place,LA6468_36110.jpg,"Zügel, Heinrich von;Birth 1850.10.22, Murrhardt;Death 1941.01.30, München;Place of activity Stuttgart, München",1880 (um),Oil;wood,26.00 cm,"Collection Abraham Adelsberger, 1934 confiscation in Nuremberg;Restitution to the heirs;Read more;Read less","Nürnberg / Beschlagnahme, 1934",restituted,2001,Nathan Scheftelowitz Adv. & Notary Phone +972-3-6091587/9 nns@inter.net.il,"Adelsberger, Abraham",https://www.lostart.de/en/Verlust/239715,
2016,"Interior, mother punishing her daughter",LA438623_54049.jpg,"Slingeland, Pieter Cornelisz. van;Birth 1640.10.20, Leiden;Death 1691.11.07, Leiden",,Oil: Wood / painted,43.00 cm,2016 amicable settlement with the heirs;Read more;Read less,,amicable settlement,12.03.2014,Please contact the German Lost Art Foundation.,"Andriesse, Hugo Daniel und Elisabeth",https://www.lostart.de/en/Verlust/484192,
,"Leopold II Maximilian, Prince of Anhalt-Dessau (1700-1751)",,"Lisiewski, Christian Friedrich Reinhold von;Birth 1725, Berlin;Death 1794.06.11, Ludwigslust",,Oil / painted,131.00 cm,"Duke Joachim Ernst of Anhalt, Dessau Palace, stored in the palace vault, [...], recovery by amicable settlement.;Read more;Read less",,amicable settlement,2010,Wolf von Trotha Bevollmächtigter Phone +49 (0) 69 710 35 554 office@trotha.de,"Anhalt, Herzogliches Haus",https://www.lostart.de/en/Verlust/419572,
,Four figures,,Unknown,,Oil / painted,145.00 cm,"Duke Joachim Ernst of Anhalt, Dessau Palace, [...] recovery through amicable arrangement.;Read more;Read less",,amicable settlement,2010,Wolf von Trotha Bevollmächtigter Phone +49 (0) 69 710 35 554 office@trotha.de,"Anhalt, Herzogliches Haus",https://www.lostart.de/en/Verlust/419980,
2012,After the Storm / Nude on the beach,LA10684_38385.jpg,"Keller, Albert von;Birth 1844.04.27, Gais (Bruneck);Death 1920.07.14, München;Place of activity München",1874 oder 1876,Oil;wood,22.50 cm,"Haberstock, until 1930 Collection Jean Baer, 1930-1939/1942 Ida Baer, Berlin, loss between 1939 and 1942 in Berlin, Collection O. Müller Zurich, Kunsthaus Zurich, agreement in 2012 between the Kunsthaus Zurich and the heirs;Read more;Read less","Berlin, zwischen 1939 und 1942","restituted;Literature / Source;Rosenhagen: A. v. Keller, 1912, Oscar Müller: A. v. Keller Nr. 232;Read more;Read less",2004,Dr. Monika Tatzkow Wissenschaftlicher Dokumentationsdienst Phone +49 (0) 30 64 128 13 tatzkow@t-online.de,"Baer, Ida",https://www.lostart.de/en/Verlust/297676,"Rosenhagen: A. v. Keller, 1912, Oscar Müller: A. v. Keller Nr. 232;Read more"
,Neger Othelle,,"Corinth, Lovis;Birth 1858.07.21, Tapiau (Ost-Preußen);Death 1925.07.17, Zandvoort;Place of activity Königsberg, Berlin",1884,Oil;canvas,78.00 cm,"Thannhauser, until 1930 Collection Jean Baer, 1930-1939/1942 Ida Baer, Berlin, loss between 1939 and 1942 in Berlin, Wolfgang Gurlitt Berlin, Linz, Lentos Museum Linz;Read more;Read less","Berlin, zwischen 1939 und 1942",restituted,2005,Dr. Monika Tatzkow Wissenschaftlicher Dokumentationsdienst Phone +49 (0) 30 64 128 13 tatzkow@t-online.de,"Baer, Ida",https://www.lostart.de/en/Verlust/307010,
,View from the studio window,,"Corinth, Lovis;Birth 1858.07.21, Tapiau (Ost-Preußen);Death 1925.07.17, Zandvoort;Place of activity Königsberg, Berlin",1891,Oil;Cardboard,64.50 cm,"until 1930 Collection Jean Baer, 1930-1939/1942 Ida Baer, loss between 1939 and 1942 in Berlin, Wolfgang Gurlitt Berlin, Linz, Lentos Museum Linz;Read more;Read less","Berlin, zwischen 1939 und 1942",restituted,2005,Dr. Monika Tatzkow Wissenschaftlicher Dokumentationsdienst Phone +49 (0) 30 64 128 13 tatzkow@t-online.de,"Baer, Ida",https://www.lostart.de/en/Verlust/307011,
,Landscape,LA417960_47206.jpg,"Diaz de la Peña, Virgilio Narcisso;Birth 1808.08.20, Bordeaux;Death 1876.11.18, Mentone;Place of activity Paris, Fontainebleau",,Oil: Wood,30.00 cm,Sold between 1935 and 1945.;Read more;Read less,"Hamburg, 1935/1945",restituted,2006,"BaBeg GmbH, Berlin Hinweise/Rückfragen Phone +49 (0) 30 6144035 info@babeg.de","Behrens, Eduard Ludwig (Sammlung)",https://www.lostart.de/en/Verlust/317474,
