WikidataQuery;RetrievalDate;item;itemLabel;publication_date;type;typeLabel;published_in;published_inLabel;main_subject;main_subjectLabel;depicts;depictsLabel;publisher;publisherLabel;full_work_available_at_URL;author;authorLabel;LCCN
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q125509286;Bedevilled: multi-million Getty Gauguin is a fake;;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q2331628;The Art Newspaper;http://www.wikidata.org/entity/Q125509297;Head with Horns;;;;;https://www.theartnewspaper.com/2020/01/28/bedevilled-multi-million-getty-gauguin-is-a-fake;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q121878147;Fakes leave art world in chaos;1999-02-13T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q11148;The Guardian;http://www.wikidata.org/entity/Q1139213;Metropolitan Police;;;;;https://www.theguardian.com/uk/1999/feb/13/2;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q125523945;Iraq Reclaims 17,000 Looted Artifacts, Its Biggest-Ever Repatriation;2021-08-03T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q9684;The New York Times;http://www.wikidata.org/entity/Q49115;Cornell University;;;;;https://www.nytimes.com/2021/08/03/world/middleeast/iraq-looted-artifacts-return.html;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q124655345;Investigators Say Chicago’s Art Institute Is Holding onto ‘Looted Art’;2024-02-23T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q9684;The New York Times;http://www.wikidata.org/entity/Q2334719;legal case;;;http://www.wikidata.org/entity/Q9684;The New York Times;https://www.nytimes.com/2024/02/23/arts/investigators-say-chicagos-art-institute-is-holding-onto-looted-art.html;http://www.wikidata.org/entity/Q112437555;Graham Bowley;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q125525206;"Open questions about Gustav Klimt's 'Portrait of Fräulein Lieser' (Offene Fragen zu Gustav Klimts ""Bildnis Fräulein Lieser"")";2024-04-13T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q128660;Der Standard;http://www.wikidata.org/entity/Q21004260;inquiry;;;;;https://www.lootedart.com/news.php?r=WLOXF1957831;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q124655345;Investigators Say Chicago’s Art Institute Is Holding onto ‘Looted Art’;2024-02-23T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q9684;The New York Times;http://www.wikidata.org/entity/Q239303;Art Institute of Chicago;;;http://www.wikidata.org/entity/Q9684;The New York Times;https://www.nytimes.com/2024/02/23/arts/investigators-say-chicagos-art-institute-is-holding-onto-looted-art.html;http://www.wikidata.org/entity/Q112437555;Graham Bowley;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q121878147;Fakes leave art world in chaos;1999-02-13T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q11148;The Guardian;http://www.wikidata.org/entity/Q1421778;John Myatt;;;;;https://www.theguardian.com/uk/1999/feb/13/2;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q125523945;Iraq Reclaims 17,000 Looted Artifacts, Its Biggest-Ever Repatriation;2021-08-03T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q9684;The New York Times;http://www.wikidata.org/entity/Q79115191;Irisagrig;;;;;https://www.nytimes.com/2021/08/03/world/middleeast/iraq-looted-artifacts-return.html;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q125922017;Paris court intervenes after claim that Cézanne was looted by Nazis;2000-11-07T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q48813818;Antiques Trade Gazette;http://www.wikidata.org/entity/Q64354386;The paintings of Paul Cézanne: a catalogue raisonné;;;;;https://www.antiquestradegazette.com/news/2000/paris-court-intervenes-after-claim-that-cézanne-was-looted-by-nazis/;;;
https://w.wiki/AVoK;27 June 2024;http://www.wikidata.org/entity/Q125525206;"Open questions about Gustav Klimt's 'Portrait of Fräulein Lieser' (Offene Fragen zu Gustav Klimts ""Bildnis Fräulein Lieser"")";2024-04-13T00:00:00Z;http://www.wikidata.org/entity/Q5707594;news article;http://www.wikidata.org/entity/Q51950784;lootedart.com;http://www.wikidata.org/entity/Q124356656;Portrait of Fräulein Lieser;;;;;https://www.lootedart.com/news.php?r=WLOXF1957831;;;
