creator,creatorLabel,creatorDescription,imagecreator
http://www.wikidata.org/entity/Q511444,Hans Makart,Austrian painter (1840–1884),http://commons.wikimedia.org/wiki/Special:FilePath/Makart%20hans%20selbstportrat.jpg
http://www.wikidata.org/entity/Q71509,Eduard von Grützner,German painter and professor of art (1846-1925),http://commons.wikimedia.org/wiki/Special:FilePath/Eduard%20Gr%C3%BCtzner%20detail.jpg
http://www.wikidata.org/.well-known/genid/e6680eeced1430bd0ff3aa6018691788,http://www.wikidata.org/.well-known/genid/e6680eeced1430bd0ff3aa6018691788,,
http://www.wikidata.org/entity/Q629856,Johannes Lingelbach,Dutch painter (1622-1674),http://commons.wikimedia.org/wiki/Special:FilePath/Sack%20of%20Rome%20of%201527%20by%20Johannes%20Lingelbach%2017th%20century.jpg
http://www.wikidata.org/entity/Q2898912,Bernardino da Asola,16th-century painter from Italy (1490-1540),http://commons.wikimedia.org/wiki/Special:FilePath/Attributed%20to%20Bernardino%20da%20Asola%20-%20The%20Death%20of%20Saint%20Peter%20Martyr%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q186202,Giovanni Battista Tiepolo,Italian painter (1696–1770),http://commons.wikimedia.org/wiki/Special:FilePath/Tiepolo%2C%20Giovanni%20Battista%20-%20Fresken%20Treppenhaus%20des%20W%C3%BCrzburger%20Residenzschlosses%2C%20Szenen%20zur%20Apotheose%20des%20F%C3%BCrstbischofs%2C%20Detail%20Giovanni%20Battista%20Tiepolo%20-%201750-1753.jpg
http://www.wikidata.org/entity/Q767225,Willem Pieterszoon Buytewech,painter and engraver from the Northern Netherlands (1591–1624),
http://www.wikidata.org/entity/Q13518302,Girolamo da Santacroce,16th-century Italian painter,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20dell%27Orto%20%28Venice%29%20-%20St.%20Jerome%20and%20St.%20Augustine%20by%20Girolamo%20da%20Santacroce.jpg
http://www.wikidata.org/entity/Q285423,Sebastiano del Piombo,Italian painter (c.1485-1547),http://commons.wikimedia.org/wiki/Special:FilePath/%28Venice%29%20Bust%20of%20Sebastiano%20del%20Piombo%20by%20Lorenzo%20Moretti%20Larese%20-%20gallerie%20Accademia%20Venice.jpg
http://www.wikidata.org/entity/Q18516623,Jan van Rossum,Dutch painter (active 1654-1678),
http://www.wikidata.org/entity/Q296,Claude Monet,French painter (1840–1926),http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%201899%20Nadar%20crop.jpg
http://www.wikidata.org/entity/Q157610,Lovis Corinth,German painter (1858–1925),http://commons.wikimedia.org/wiki/Special:FilePath/Lovis%20Corinth%201887.jpg
http://www.wikidata.org/entity/Q2400396,Hendrick de Clerck,Flemish painter,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrick%20de%20Clerck%20-%20Presumed%20Self-Portrait%20as%20John%20the%20Apostle.jpg
http://www.wikidata.org/entity/Q469379,Francesco Melzi,Italian painter (1491-1568),http://commons.wikimedia.org/wiki/Special:FilePath/Melzi%20Boltraffio.jpg
http://www.wikidata.org/entity/Q348024,Carlo Crivelli,Italian Renaissance painter (c. 1430–c. 1495),
http://www.wikidata.org/entity/Q301,El Greco,"Greek artist, painter, sculptor and architect, (1541–1614)",http://commons.wikimedia.org/wiki/Special:FilePath/El%20Greco%20-%20Portrait%20of%20a%20Man%20-%20WGA10554.jpg
http://www.wikidata.org/entity/Q5599,Peter Paul Rubens,Flemish painter (1577–1640),http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Peter%20Paul%20Rubens%20-%20Portrait%20of%20the%20Artist%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q366499,Orcagna,Italian painter,http://commons.wikimedia.org/wiki/Special:FilePath/Vite%20de%20pi%C3%B9%20eccellenti%20pittori%20scultori%20ed%20architetti%20%281767%29%20%2814761303956%29.jpg
